Date,Price,Open,High,Low,Vol.,Change %
12/31/2024,242.13,241.05,242.52,241.05,2520000,0.62%
12/30/2024,240.63,241.08,241.08,239.58,3520000,-0.32%
12/27/2024,241.4,241.2,241.95,241.05,4730000,-0.69%
12/26/2024,243.07,242.39,243.56,242.2,4650000,0.68%
12/24/2024,241.44,241.49,241.66,240.82,2420000,0.20%
12/23/2024,240.96,241.6,241.67,240.65,5840000,-0.47%
12/20/2024,242.1,241.41,242.96,241.17,9530000,1.04%
12/19/2024,239.6,239.67,240.05,238.73,8109999,0.14%
12/18/2024,239.26,243.57,243.71,238.82,8020000,-1.92%
12/17/2024,243.94,243.8,244.55,243.23,4420000,-0.38%
12/16/2024,244.88,245.41,245.54,244.29,3310000,0.24%
12/13/2024,244.29,245.67,245.94,244.27,6600000,-1.21%
12/12/2024,247.28,247.81,248.24,246.87,10150000,-1.47%
12/11/2024,250.96,249.35,251.26,248.97,11030000,0.95%
12/10/2024,248.59,247.86,248.86,247.83,4640000,1.32%
12/9/2024,245.36,246.28,247.11,245.26,4710000,0.99%
12/6/2024,242.95,242.79,243.86,242.43,3540000,0.04%
12/5/2024,242.86,244.16,244.38,242.15,4810000,-0.74%
12/4/2024,244.67,244.93,245.34,244.37,4610000,0.30%
12/3/2024,243.93,244.96,245.18,243.3,3560000,0.20%
12/2/2024,243.44,244.46,244.58,243.14,4770000,-0.88%
11/29/2024,245.59,245.25,245.81,244.73,2710000,0.86%
11/27/2024,243.49,244.85,245.18,243.2,6930000,0.22%
11/26/2024,242.95,242.71,243.09,241.58,4950000,0.19%
11/25/2024,242.48,244.27,244.4,241.48,10730000,-2.95%
11/22/2024,249.84,248.2,250.39,247.86,7500000,1.29%
11/21/2024,246.66,246.23,246.81,245.69,7650000,0.83%
11/20/2024,244.62,243.74,245.21,243.51,6630000,0.56%
11/19/2024,243.25,242.75,243.31,242.03,6580000,0.90%
11/18/2024,241.09,240.46,241.49,240.45,6510000,1.90%
11/15/2024,236.59,237.57,237.88,236.33,7300000,-0.18%
11/14/2024,237.01,236.57,237.99,236.13,8260000,-0.26%
